ticker,name,exchange,sector,industry,country,currency
SPXL,Direxion Daily S&P 500 Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
SPXS,Direxion Daily S&P 500 Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
TQQQ,ProShares UltraPro QQQ,NASDAQ,Other,Asset Management,US,USD
SQQQ,ProShares UltraPro Short QQQ,NASDAQ,Other,Asset Management,US,USD
TNA,Direxion Daily Small Cap Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
TZA,Direxion Daily Small Cap Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
SOXL,Direxion Daily Semiconductor Bull 3X Shares,NYSE Arca,Information Technology,Asset Management,US,USD
SOXS,Direxion Daily Semiconductor Bear 3X Shares,NYSE Arca,Information Technology,Asset Management,US,USD
FAS,Direxion Daily Financial Bull 3X Shares,NYSE Arca,Financials,Asset Management,US,USD
FAZ,Direxion Daily Financial Bear 3X Shares,NYSE Arca,Financials,Asset Management,US,USD
LABU,Direxion Daily S&P Biotech Bull 3X Shares,NYSE Arca,Health Care,Asset Management,US,USD
LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,Health Care,Asset Management,US,USD
TECL,Direxion Daily Technology Bull 3X Shares,NYSE Arca,Information Technology,Asset Management,US,USD
TECS,Direxion Daily Technology Bear 3X Shares,NYSE Arca,Information Technology,Asset Management,US,USD
ERX,Direxion Daily Energy Bull 2X Shares,NYSE Arca,Energy,Asset Management,US,USD
ERY,Direxion Daily Energy Bear 2X Shares,NYSE Arca,Energy,Asset Management,US,USD
DRN,Direxion Daily Real Estate Bull 3X Shares,NYSE Arca,Real Estate,Asset Management,US,USD
DRV,Direxion Daily Real Estate Bear 3X Shares,NYSE Arca,Real Estate,Asset Management,US,USD
NUGT,Direxion Daily Gold Miners Bull 2X Shares,NYSE Arca,Materials,Asset Management,US,USD
DUST,Direxion Daily Gold Miners Bear 2X Shares,NYSE Arca,Materials,Asset Management,US,USD
JNUG,Direxion Daily Junior Gold Miners Bull 2X Shares,NYSE Arca,Materials,Asset Management,US,USD
JDST,Direxion Daily Junior Gold Miners Bear 2X Shares,NYSE Arca,Materials,Asset Management,US,USD
CURE,Direxion Daily Healthcare Bull 3X Shares,NYSE Arca,Health Care,Asset Management,US,USD
RETL,Direxion Daily Retail Bull 3X Shares,NYSE Arca,Consumer Discretionary,Asset Management,US,USD
WEBL,Direxion Daily Dow Jones Internet Bull 3X Shares,NYSE Arca,Communication Services,Asset Management,US,USD
WEBS,Direxion Daily Dow Jones Internet Bear 3X Shares,NYSE Arca,Communication Services,Asset Management,US,USD
DPST,Direxion Daily Regional Banks Bull 3X Shares,NYSE Arca,Financials,Asset Management,US,USD
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,NYSE Arca,Industrials,Asset Management,US,USD
HIBL,Direxion Daily S&P 500 High Beta Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
DUSL,Direxion Daily Industrials Bull 3X Shares,NYSE Arca,Industrials,Asset Management,US,USD
UTSL,Direxion Daily Utilities Bull 3X Shares,NYSE Arca,Utilities,Asset Management,US,USD
TPOR,Direxion Daily Transportation Bull 3X Shares,NYSE Arca,Industrials,Asset Management,US,USD
KORU,Direxion Daily MSCI South Korea Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares,NYSE Arca,Communication Services,Asset Management,US,USD
YINN,Direxion Daily FTSE China Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
YANG,Direxion Daily FTSE China Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
GUSH,Direxion Daily S&P Oil & Gas Exp & Prod Bull 2X Shares,NYSE Arca,Energy,Asset Management,US,USD
DRIP,Direxion Daily S&P Oil & Gas Exp & Prod Bear 2X Shares,NYSE Arca,Energy,Asset Management,US,USD
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
TYD,Direxion Daily 7-10 Year Treasury Bull 3X Shares,NYSE Arca,Other,Asset Management,US,USD
TYO,Direxion Daily 7-10 Year Treasury Bear 3X Shares,NYSE Arca,Other,Asset Management,US,USD
