ticker,name,exchange,sector,industry,country,currency
0700.HK,Tencent Holdings Ltd,HKEX,Communication Services,Interactive Media,HK,HKD
9988.HK,Alibaba Group Holding Ltd,HKEX,Consumer Discretionary,Internet Retail,HK,HKD
0941.HK,China Mobile Ltd,HKEX,Communication Services,Telecommunication Services,HK,HKD
1299.HK,AIA Group Ltd,HKEX,Financials,Insurance,HK,HKD
0939.HK,China Construction Bank Corporation,HKEX,Financials,Banks,CN,HKD
3690.HK,Meituan,HKEX,Consumer Discretionary,Internet Retail,CN,HKD
0005.HK,HSBC Holdings plc,HKEX,Financials,Banks,GB,HKD
1398.HK,Industrial and Commercial Bank of China,HKEX,Financials,Banks,CN,HKD
0388.HK,Hong Kong Exchanges and Clearing Ltd,HKEX,Financials,Capital Markets,HK,HKD
2318.HK,Ping An Insurance Group Co of China,HKEX,Financials,Insurance,CN,HKD
0883.HK,CNOOC Ltd,HKEX,Energy,Oil Gas and Consumable Fuels,CN,HKD
3988.HK,Bank of China Ltd,HKEX,Financials,Banks,CN,HKD
0857.HK,PetroChina Co Ltd,HKEX,Energy,Oil Gas and Consumable Fuels,CN,HKD
1810.HK,Xiaomi Corporation,HKEX,Information Technology,Technology Hardware,CN,HKD
0386.HK,China Petroleum and Chemical Corporation,HKEX,Energy,Oil Gas and Consumable Fuels,CN,HKD
2628.HK,China Life Insurance Co Ltd,HKEX,Financials,Insurance,CN,HKD
1024.HK,Kuaishou Technology,HKEX,Communication Services,Interactive Media,CN,HKD
0016.HK,Sun Hung Kai Properties Ltd,HKEX,Real Estate,Real Estate Management,HK,HKD
0001.HK,CK Hutchison Holdings Ltd,HKEX,Industrials,Industrial Conglomerates,HK,HKD
2388.HK,BOC Hong Kong Holdings Ltd,HKEX,Financials,Banks,HK,HKD
0027.HK,Galaxy Entertainment Group Ltd,HKEX,Consumer Discretionary,Hotels Restaurants and Leisure,HK,HKD
0688.HK,China Overseas Land and Investment Ltd,HKEX,Real Estate,Real Estate Management,CN,HKD
1113.HK,CK Asset Holdings Ltd,HKEX,Real Estate,Real Estate Management,HK,HKD
2382.HK,Sunny Optical Technology Group Co Ltd,HKEX,Information Technology,Electronic Equipment,CN,HKD
2020.HK,ANTA Sports Products Ltd,HKEX,Consumer Discretionary,Textiles Apparel and Luxury Goods,CN,HKD
1928.HK,Sands China Ltd,HKEX,Consumer Discretionary,Hotels Restaurants and Leisure,HK,HKD
0066.HK,MTR Corporation Ltd,HKEX,Industrials,Road and Rail,HK,HKD
0006.HK,Power Assets Holdings Ltd,HKEX,Utilities,Electric Utilities,HK,HKD
0017.HK,New World Development Co Ltd,HKEX,Real Estate,Real Estate Management,HK,HKD
