ticker,name,exchange,sector,industry,country,currency
005930.KS,Samsung Electronics,KRX,Information Technology,Semiconductors,KR,KRW
000660.KS,SK Hynix,KRX,Information Technology,Semiconductors,KR,KRW
035420.KS,NAVER Corporation,KRX,Communication Services,Interactive Media & Services,KR,KRW
005380.KS,Hyundai Motor Company,KRX,Consumer Discretionary,Automobile Manufacturers,KR,KRW
000270.KS,Kia Corporation,KRX,Consumer Discretionary,Automobile Manufacturers,KR,KRW
005490.KS,POSCO Holdings,KRX,Materials,Steel,KR,KRW
051910.KS,LG Chem,KRX,Materials,Specialty Chemicals,KR,KRW
035720.KS,Kakao Corp.,KRX,Communication Services,Interactive Media & Services,KR,KRW
207940.KS,Samsung Biologics,KRX,Health Care,Biotechnology,KR,KRW
068270.KS,Celltrion Inc.,KRX,Health Care,Biotechnology,KR,KRW
006400.KS,Samsung SDI,KRX,Information Technology,Electronic Components,KR,KRW
105560.KS,KB Financial Group,KRX,Financials,Diversified Banks,KR,KRW
055550.KS,Shinhan Financial Group,KRX,Financials,Diversified Banks,KR,KRW
086790.KS,Hana Financial Group,KRX,Financials,Diversified Banks,KR,KRW
012330.KS,Hyundai Mobis,KRX,Consumer Discretionary,Auto Parts & Equipment,KR,KRW
066570.KS,LG Electronics,KRX,Consumer Discretionary,Consumer Electronics,KR,KRW
015760.KS,Korea Electric Power Corporation,KRX,Utilities,Electric Utilities,KR,KRW
003550.KS,LG Corporation,KRX,Industrials,Industrial Conglomerates,KR,KRW
028260.KS,Samsung C&T,KRX,Industrials,Industrial Conglomerates,KR,KRW
033780.KS,KT&G Corporation,KRX,Consumer Staples,Tobacco,KR,KRW
