ticker,name,exchange,sector,industry,country,currency
600519.SS,Kweichow Moutai Co Ltd,SSE,Consumer Staples,Beverages,CN,CNY
601398.SS,Industrial and Commercial Bank of China,SSE,Financials,Banks,CN,CNY
601318.SS,Ping An Insurance Group Co,SSE,Financials,Insurance,CN,CNY
600036.SS,China Merchants Bank Co Ltd,SSE,Financials,Banks,CN,CNY
601988.SS,Bank of China Ltd,SSE,Financials,Banks,CN,CNY
600276.SS,Jiangsu Hengrui Pharmaceuticals Co,SSE,Health Care,Pharmaceuticals,CN,CNY
601166.SS,Industrial Bank Co Ltd,SSE,Financials,Banks,CN,CNY
600887.SS,Inner Mongolia Yili Industrial Group,SSE,Consumer Staples,Food Products,CN,CNY
601288.SS,Agricultural Bank of China Ltd,SSE,Financials,Banks,CN,CNY
601939.SS,China Construction Bank Corp,SSE,Financials,Banks,CN,CNY
601628.SS,China Life Insurance Co Ltd,SSE,Financials,Insurance,CN,CNY
601857.SS,PetroChina Co Ltd,SSE,Energy,Oil Gas & Consumable Fuels,CN,CNY
600028.SS,China Petroleum & Chemical Corp,SSE,Energy,Oil Gas & Consumable Fuels,CN,CNY
600030.SS,CITIC Securities Co Ltd,SSE,Financials,Capital Markets,CN,CNY
601601.SS,China Pacific Insurance Group,SSE,Financials,Insurance,CN,CNY
601668.SS,China State Construction Engineering,SSE,Industrials,Construction & Engineering,CN,CNY
601888.SS,China Tourism Group Duty Free Corp,SSE,Consumer Discretionary,Specialty Retail,CN,CNY
600900.SS,China Yangtze Power Co Ltd,SSE,Utilities,Independent Power Producers,CN,CNY
601012.SS,LONGi Green Energy Technology Co,SSE,Information Technology,Semiconductors,CN,CNY
600585.SS,Anhui Conch Cement Co Ltd,SSE,Materials,Construction Materials,CN,CNY
601225.SS,Shaanxi Coal Industry Co Ltd,SSE,Energy,Oil Gas & Consumable Fuels,CN,CNY
601088.SS,China Shenhua Energy Co Ltd,SSE,Energy,Oil Gas & Consumable Fuels,CN,CNY
600438.SS,Tongwei Co Ltd,SSE,Information Technology,Semiconductors,CN,CNY
601816.SS,Beijing-Shanghai High Speed Railway,SSE,Industrials,Road & Rail,CN,CNY
601336.SS,New China Life Insurance Co Ltd,SSE,Financials,Insurance,CN,CNY
600009.SS,Shanghai International Airport Co,SSE,Industrials,Transportation Infrastructure,CN,CNY
600690.SS,Haier Smart Home Co Ltd,SSE,Consumer Discretionary,Household Durables,CN,CNY
600031.SS,Sany Heavy Industry Co Ltd,SSE,Industrials,Machinery,CN,CNY
600048.SS,Poly Developments and Holdings Group,SSE,Real Estate,Real Estate Management,CN,CNY
600050.SS,China United Network Communications,SSE,Communication Services,Diversified Telecommunication,CN,CNY
601633.SS,Great Wall Motor Co Ltd,SSE,Consumer Discretionary,Automobiles,CN,CNY
600000.SS,Shanghai Pudong Development Bank,SSE,Financials,Banks,CN,CNY
600016.SS,China Minsheng Banking Corp Ltd,SSE,Financials,Banks,CN,CNY
601169.SS,Bank of Beijing Co Ltd,SSE,Financials,Banks,CN,CNY
601066.SS,CSC Financial Co Ltd,SSE,Financials,Capital Markets,CN,CNY
601138.SS,Foxconn Industrial Internet Co,SSE,Information Technology,Electronic Equipment,CN,CNY
600406.SS,NARI Technology Co Ltd,SSE,Industrials,Electrical Equipment,CN,CNY
600089.SS,TBEA Co Ltd,SSE,Industrials,Electrical Equipment,CN,CNY
600196.SS,Shanghai Fosun Pharmaceutical Group,SSE,Health Care,Pharmaceuticals,CN,CNY
603259.SS,WuXi AppTec Co Ltd,SSE,Health Care,Life Sciences Tools & Services,CN,CNY
603288.SS,Foshan Haitian Flavouring and Food,SSE,Consumer Staples,Food Products,CN,CNY
603501.SS,Will Semiconductor Co Ltd,SSE,Information Technology,Semiconductors,CN,CNY
603986.SS,GigaDevice Semiconductor Inc,SSE,Information Technology,Semiconductors,CN,CNY
603799.SS,Zhejiang Huayou Cobalt Co Ltd,SSE,Materials,Metals & Mining,CN,CNY
600346.SS,Hengli Petrochemical Co Ltd,SSE,Materials,Chemicals,CN,CNY
600309.SS,Wanhua Chemical Group Co Ltd,SSE,Materials,Chemicals,CN,CNY
600905.SS,SDIC Power Holdings Co Ltd,SSE,Utilities,Independent Power Producers,CN,CNY
601728.SS,China Telecom Corp Ltd,SSE,Communication Services,Diversified Telecommunication,CN,CNY
601799.SS,Xinjiang Goldwind Science & Technology,SSE,Industrials,Electrical Equipment,CN,CNY
600660.SS,Fuyao Glass Industry Group Co,SSE,Consumer Discretionary,Auto Components,CN,CNY
